,,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggProduction,AggProduction,AggProduction,AggProduction,AggProduction,AggProduction
FoodGroup,,Cereals,Dairy and Eggs,Fish and Seafood,Fruits and Vegetables,Meat,Oilseeds and Pulses,Cereals,Dairy and Eggs,Fish and Seafood,Fruits and Vegetables,Meat,Oilseeds and Pulses
NAME,ISO3,,,,,,,,,,,,
Afghanistan,AFG,350.89,116.46,0.46,206.53,23.12,14.9,283.84921062441504,114.196042283547,0.41022377111287495,208.521870653813,19.280517242305102,12.9220487900556
Albania,ALB,305.77,804.96,10.72,921.91,97.81,56.42,439.065923767686,755.243675600394,4.0857959978381695,1034.64926345256,68.8299479635814,62.5441079669073
Algeria,DZA,440.56,249.6,7.83,588.63,42.1,54.75,154.137864324749,167.135556512366,4.29527865752567,562.6815041358631,36.666467290023796,29.6866394715446
Angola,AGO,199.76,21.45,39.04,183.97,47.28,38.74,152.484507405567,13.870806057313398,30.8869196106161,349.758193554024,20.3501394990516,65.8941920409784
Antigua and Barbuda,ATG,164.11,165.78,106.1,369.35,132.68,30.82,0.0,115.16153602031099,105.564741351952,239.919866708981,9.59679466835925,0.0
Argentina,ARG,254.12,394.53,12.13,311.31,233.74,33.0,2554.67834462539,463.34586583850603,31.6931741550953,454.29663058632696,260.73890974307096,3086.66495343664
Armenia,ARM,293.17,440.87,13.08,945.57,102.73,29.13,369.839464398837,489.720594045243,12.3588793449904,1032.8933412575698,79.4057997915631,6.48841165611994
Australia,AUS,194.57,442.4,51.49,346.76,272.54,60.39,2637.16069783631,695.380962390434,21.088012839456102,424.78885437776705,410.356278214593,520.731834778555
Austria,AUT,233.47,509.91,28.14,340.71,197.32,41.56,1184.37148605856,795.0430658603219,0.8296823019674641,216.132239662524,223.28824951699403,125.696868748071
Azerbaijan,AZE,419.71,286.07,4.37,475.07,74.49,14.38,552.545701332369,395.074835354004,0.18635605441226602,509.031562627105,69.04491815974461,64.85190693546859
Bangladesh,BGD,572.78,40.57,49.13,122.04,9.3,29.94,623.1999054293609,46.77272520108129,44.5331471988196,112.39236066735,8.814749316594199,15.5334833233794
Barbados,BRB,208.8,75.5,80.05,259.84,153.79,60.18,0.0,60.3097095871239,19.045171448565398,92.05166200139959,117.44522393282,69.8322953114066
Belarus,BLR,246.42,262.56,32.57,475.61,181.82,40.75,1359.2926794796301,1425.17798846875,2.6891962852702402,516.9019431187301,262.00455236490103,149.250393832498
Belgium,BEL,276.39,519.63,47.56,518.41,150.52,36.99,377.99308419100197,683.599414148851,4.2345452255597404,429.76639185445,346.673428937806,142.216801915025
Belize,BLZ,275.16,106.14,24.8,356.68,85.41,58.99,453.1,44.325,197.0,1241.1,108.35,96.0375
Benin,BEN,273.86,29.92,40.29,217.56,44.84,70.68,302.727098636321,25.8669792109315,9.01172178961485,184.65685481868198,15.5201875265589,276.025700741166
Bermuda,BMU,,,0.0,,0.0,,,,0.0,,0.0,
Bosnia and Herzegovina,BIH,336.0,421.19,9.68,700.93,77.23,43.98,888.0916982402471,394.350220153738,1.6074057886701298,623.67344600401,48.222173660103905,81.97769522217659
Botswana,BWA,235.5,315.8,7.77,165.83,62.25,33.02,40.3206400207414,279.304433477011,0.0,60.9009666979948,63.001000032408506,10.5001666720681
Brazil,BRA,252.91,312.93,18.1,287.07,205.99,94.38,740.553166898724,321.49674963578605,11.405649654484598,425.75371617270895,260.402598477273,1024.15429353126
Bulgaria,BGR,273.04,346.4,14.56,283.84,130.06,36.75,2240.07258160362,312.671512664378,6.08853249812988,280.453028195108,63.2953690951419,748.508963988842
Burkina Faso,BFA,426.33,51.39,14.53,41.92,29.5,86.8,444.437143496103,50.11168667772161,2.14069341147548,37.99730805368979,27.9263185951574,207.98782577403801
Cambodia,KHM,503.0,7.49,84.47,107.08,28.61,32.77,1221.5643344122198,5.40871631816997,92.2934146206876,105.585047274914,26.813423449651104,70.0831539950109
Cameroon,CMR,281.98,19.02,42.08,431.08,27.46,89.54,299.645500709463,19.943506690266698,17.8960744444978,692.107929893779,25.744564719945,385.637655031753
Canada,CAN,230.74,382.84,45.59,406.09,185.34,78.01,2932.95291680661,445.50205109867403,53.8831327264921,172.79505312105098,251.836946107159,1911.36761790004
Cape Verde,CPV,323.14,118.76,22.5,250.58,68.97,51.32,20.495566224230398,51.2389155605761,66.61059022874889,182.752132166055,20.495566224230398,47.82298785653771
Central African Republic,CAF,75.0,34.82,15.66,124.97,81.61,43.82,57.177751234659006,33.1870863809559,11.595488012623198,145.94321119336,75.37067208205059,115.555035712003
Chad,TCD,308.24,72.87,15.2,27.97,70.86,67.92,358.16016614864,70.95919798978959,13.7059030357803,28.221700341856604,99.67929480567459,172.07138265829602
Chile,CHL,294.33,204.74,23.88,245.1,173.81,28.09,385.80996393555495,222.896923895619,295.335933136618,840.9700660165511,170.037371760337,61.7276014096272
Colombia,COL,244.28,260.51,14.55,455.22,117.69,48.28,165.825901789412,274.443185632397,6.6850096678675,541.561107149863,106.131590107327,291.221618348087
Costa Rica,CRI,255.11,374.49,33.13,392.08,109.91,64.28,79.06518109545141,447.727418943329,13.331833814689698,2501.57048383969,104.247533856532,541.050255646157
Croatia,HRV,257.63,496.61,34.07,647.85,157.01,30.62,1536.6919795181302,315.141488856152,38.3687996008174,757.891569643112,100.664210188661,236.89500427695702
Cuba,CUB,350.41,210.55,12.5,565.21,112.56,71.84,148.941895969158,115.968193046378,8.48352550925885,717.7382713871069,63.86654109800529,35.5347672274616
Cyprus,CYP,202.05,237.32,47.11,355.17,147.74,49.23,15.5049180047685,386.07245831873496,12.4039344038148,379.095245216589,125.589835838624,12.4039344038148
Denmark,DNK,245.17,661.4,49.19,312.74,182.17,12.53,2908.1828578182,1781.37914416031,248.74184037049,122.464852442943,737.4893772925841,218.88011240774898
Djibouti,DJI,342.79,64.88,11.52,220.63,34.89,55.98,0.0,29.292064448773605,3.90560859316981,78.1121718633962,26.3628580038962,3.90560859316981
Dominica,DMA,127.65,208.18,57.43,940.84,119.28,74.09,0.0,178.103912494741,12.7217080353387,1641.1003365586903,25.443416070677298,228.990744636096
Dominican Republic,DOM,219.18,194.5,19.33,689.02,119.98,89.54,157.046915964431,157.308660824371,2.9664417459948,836.536572370534,91.78519755254509,145.530142127039
Ecuador,ECU,338.14,252.33,16.59,221.86,98.72,36.79,294.47128545544496,241.881233354678,129.274709661927,949.371463551293,93.0777909565875,428.47689938585097
Egypt,EGY,525.94,99.23,46.75,537.46,60.88,32.92,449.39948475903,106.51229799929199,32.7922252114332,583.862976479842,46.3355871177369,26.4815948763683
El Salvador,SLV,275.98,243.47,13.44,274.81,62.77,62.93,306.289510614933,161.56557596277,17.697995953519,115.75060256696699,47.8131342292649,59.6593734562171
Estonia,EST,256.61,727.23,28.39,339.51,150.1,26.06,1306.5018571830099,1103.22229607067,106.118821733219,97.8498226371239,125.413152957441,332.82721361782296
Ethiopia,ETH,318.73,64.81,0.9,45.09,12.82,55.72,444.549586133513,61.9684733019534,0.8055813966058659,45.4890799496465,12.3288978958811,68.6232761434801
Fiji,FJI,300.44,65.66,70.12,167.99,89.26,173.12,20.797455295735897,140.38282324621701,95.66829436038509,105.027149243466,63.432238651994496,449.225034387895
Finland,FIN,228.53,946.21,63.63,312.34,167.67,19.25,1177.1915561206401,843.703451982735,68.6447557255657,98.8418477875334,161.87621482398998,67.6546871333701
France,FRA,260.99,551.97,67.54,374.08,198.46,47.25,1534.41581433361,783.1231627584759,20.355254176743802,394.63380788834,187.812641570122,254.798402213782
French Polynesia,PYF,201.36,89.4,95.44,216.17,202.44,119.82,0.0,19.8241249954474,85.90454164693891,148.680937465856,13.2160833302983,1004.42233310267
Gabon,GAB,251.99,28.98,66.89,323.95,133.93,37.09,46.536904779691895,14.4580675043703,27.560691180205897,380.879715818255,36.5969833704373,49.699607046272895
Georgia,GEO,400.17,292.49,16.06,193.12,68.71,21.87,195.423931315295,264.556559040705,14.910958921167,263.878788180652,35.6959319627937,23.721980101856605
Germany,DEU,228.08,576.11,27.55,333.65,192.08,38.31,1001.4006542101699,751.420235195441,7.0748133952244805,141.09893049071698,232.365127004151,181.704606748176
Ghana,GHA,187.67,17.88,52.16,423.32,26.42,52.32,178.90839405602298,5.66952005376038,24.2069395553814,408.746914887118,15.607105765969601,257.740203792298
Greece,GRC,275.77,477.31,41.08,523.02,148.19,110.54,669.929592809543,340.73342091231603,34.1844415261917,1098.85887285943,85.29018160784841,466.87401014396403
