,,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggProduction,AggProduction,AggProduction,AggProduction,AggProduction,AggProduction
FoodGroup,,Cereals,Dairy and Eggs,Fish and Seafood,Fruits and Vegetables,Meat,Oilseeds and Pulses,Cereals,Dairy and Eggs,Fish and Seafood,Fruits and Vegetables,Meat,Oilseeds and Pulses
NAME,ISO3,,,,,,,,,,,,
Afghanistan,AFG,355.88,133.05,0.38,152.38,26.60,14.15,366.89,133.53,0.33,146.36,21.72,10.52
Albania,ALB,301.46,708.52,10.66,835.13,117.01,57.27,438.51,741.40,4.07,882.66,66.72,64.52
Algeria,DZA,441.93,318.27,8.79,577.61,44.08,51.43,160.14,206.68,4.66,542.98,37.78,25.24
Angola,AGO,194.32,33.59,52.72,213.43,66.32,41.81,122.77,13.17,29.93,345.85,20.91,73.00
Antigua and Barbuda,ATG,168.00,159.88,108.34,379.37,151.92,31.27,0.00,98.01,107.81,225.42,9.80,0.00
Argentina,ARG,260.55,407.19,11.76,302.02,223.51,32.75,2171.58,496.60,35.53,469.28,259.53,2820.84
Armenia,ARM,288.75,438.64,11.00,1032.48,105.43,30.62,357.90,458.20,11.84,1169.95,70.40,5.92
Australia,AUS,192.99,472.05,52.98,323.96,265.56,60.28,2957.06,756.19,18.61,380.08,440.13,631.09
Austria,AUT,239.95,508.77,28.05,392.99,201.54,41.78,1206.43,776.80,0.84,290.31,224.40,123.41
Azerbaijan,AZE,417.87,274.31,3.86,449.95,73.04,14.28,438.63,374.40,0.19,494.36,67.66,54.69
Bangladesh,BGD,571.25,39.85,45.85,110.30,9.24,28.54,648.65,47.01,41.67,100.58,8.64,14.00
Barbados,BRB,195.10,87.76,80.33,247.06,148.20,60.11,0.00,47.78,19.11,95.55,117.85,57.33
Belarus,BLR,245.88,314.95,32.61,433.84,182.02,41.96,1737.76,1342.83,2.69,461.40,239.98,282.59
Belgium,BEL,279.62,497.29,52.57,356.85,170.66,37.55,519.43,657.84,4.37,477.72,354.35,123.53
Belize,BLZ,267.40,83.80,25.85,426.12,88.94,56.25,485.21,41.08,205.38,1781.66,107.82,71.88
Benin,BEN,285.35,30.70,40.20,206.62,54.74,70.94,302.31,26.46,8.64,195.25,15.08,283.88
Bermuda,BMU,,,0.00,,0.00,,,,0.00,,0.00,
Bosnia and Herzegovina,BIH,341.78,389.13,9.41,568.01,75.66,39.01,564.30,377.24,1.56,475.46,37.26,35.69
Botswana,BWA,227.89,344.72,8.93,131.40,64.88,32.23,43.43,306.21,0.87,43.00,62.11,7.82
Brazil,BRA,263.82,324.67,19.87,313.06,203.62,97.57,907.55,340.16,11.93,442.96,256.28,961.17
Bulgaria,BGR,321.48,342.66,12.88,216.37,125.67,33.59,2414.31,327.28,5.01,178.54,58.35,738.20
Burkina Faso,BFA,440.89,44.47,13.06,43.63,30.94,81.35,461.17,43.23,2.17,39.82,29.20,205.52
Cambodia,KHM,510.22,7.70,84.76,110.26,29.73,30.79,1172.88,5.82,88.49,107.97,27.91,70.50
Cameroon,CMR,278.21,20.85,39.62,412.18,28.75,95.58,268.61,22.16,17.40,650.90,27.20,347.49
Canada,CAN,215.06,396.03,46.26,405.45,194.73,84.85,2528.06,462.59,51.97,162.77,252.41,1642.45
Cape Verde,CPV,313.40,120.12,24.96,275.18,65.22,52.88,3.50,45.51,124.28,210.05,19.25,45.51
Central African Republic,CAF,83.37,34.32,16.04,104.40,80.30,44.88,54.26,32.92,11.79,125.38,74.38,113.60
Chad,TCD,337.76,44.54,17.86,30.83,29.96,68.32,365.04,44.09,15.93,30.41,27.95,175.15
Chile,CHL,293.52,195.64,26.98,259.90,168.95,28.77,355.44,243.41,397.38,871.74,166.68,49.55
Colombia,COL,215.40,268.70,14.97,417.11,113.88,50.29,156.86,292.60,7.11,493.65,102.49,293.05
Costa Rica,CRI,246.74,368.54,28.42,290.92,105.87,62.56,88.72,431.70,15.89,2500.37,108.97,450.24
Croatia,HRV,239.95,458.41,36.09,263.29,151.53,27.34,1279.93,325.74,39.86,638.04,93.37,157.54
Cuba,CUB,366.62,205.99,12.57,509.15,103.42,64.38,163.35,113.05,8.99,678.37,57.29,35.78
Cyprus,CYP,201.61,227.58,47.87,349.72,147.93,55.15,11.02,346.41,9.45,423.56,128.33,22.04
Denmark,DNK,262.05,623.81,49.59,314.78,171.77,13.70,3138.04,1706.52,250.81,116.12,742.51,274.04
Djibouti,DJI,335.56,55.64,7.62,257.43,38.03,56.29,0.00,32.30,4.04,78.74,27.25,4.04
Dominica,DMA,136.79,158.84,65.35,939.97,119.95,71.68,0.00,178.68,25.53,1595.36,25.53,229.73
Dominican Republic,DOM,218.86,167.48,17.99,656.15,110.47,82.88,152.88,136.81,2.86,819.08,86.83,136.99
Ecuador,ECU,301.18,256.71,16.88,307.11,125.06,37.96,351.12,255.40,117.84,1036.40,117.15,470.15
Egypt,EGY,534.77,107.96,48.35,567.27,60.73,29.97,468.06,122.67,29.74,623.36,48.35,29.30
El Salvador,SLV,272.70,256.77,16.57,227.63,60.84,62.18,288.79,180.28,18.73,106.21,43.52,61.53
Estonia,EST,258.88,714.52,25.29,321.83,133.50,26.20,1711.98,1133.74,97.18,98.56,113.72,321.17
Ethiopia,ETH,309.21,71.41,1.01,43.11,15.37,52.42,436.66,68.81,0.92,47.08,14.70,68.57
Fiji,FJI,300.93,64.40,73.49,176.83,96.00,168.39,16.75,139.25,93.18,123.55,58.63,435.56
Finland,FIN,230.06,909.30,71.65,307.44,166.12,21.63,1372.39,836.35,64.95,100.66,154.81,51.00
France,FRA,258.63,537.80,68.32,365.24,199.21,48.05,2051.38,767.82,20.87,407.75,186.87,291.20
French Polynesia,PYF,207.41,97.08,97.86,229.55,194.45,139.12,0.00,26.71,96.83,143.57,13.36,821.37
Gabon,GAB,252.82,30.56,73.74,338.64,143.95,38.11,48.16,15.41,35.64,397.30,38.53,52.97
Georgia,GEO,398.80,314.24,15.98,211.61,71.38,20.10,170.18,283.94,6.74,290.91,33.27,26.08
Germany,DEU,229.43,559.53,26.28,320.38,190.74,37.46,1158.56,750.92,6.17,146.76,232.28,209.49
Ghana,GHA,185.80,14.60,45.01,423.22,34.30,63.82,185.81,5.53,21.69,415.96,15.73,256.22
Greece,GRC,274.44,502.45,35.53,511.29,159.03,113.13,723.53,360.54,27.97,1044.90,79.35,461.50
Grenada,GRD,158.31,69.28,55.38,304.64,117.17,66.65,0.00,33.32,41.65,324.89,16.66,116.63
Guatemala,GTM,263.66,104.47,5.49,218.50,71.00,57.66,216.61,86.94,4.39,748.45,55.83,282.36
Guinea,GIN,394.35,41.36,21.76,296.58,26.35,57.09,554.43,39.54,20.99,295.56,22.45,253.58
Guinea-Bissau,GNB,309.70,37.26,2.82,139.59,38.15,44.83,179.03,41.81,6.97,148.48,36.45,379.50
Guyana,GUY,352.37,164.60,61.92,392.83,92.65,91.15,1518.75,125.97,116.46,381.47,78.43,193.71
Haiti,HTI,235.88,17.48,10.71,254.01,33.90,59.23,101.05,19.26,3.01,284.39,19.95,50.91
Honduras,HND,266.11,188.44,6.64,177.15,68.58,49.46,135.74,167.75,16.11,398.20,50.45,523.61
Hungary,HUN,229.41,387.80,11.18,307.70,160.09,24.23,3074.72,382.30,4.26,564.20,183.75,572.25
Iceland,ISL,152.38,516.34,185.24,297.31,196.41,27.78,27.61,775.80,7840.79,27.61,372.71,0.00
India,IND,356.51,186.66,12.40,277.34,7.68,61.85,414.60,210.97,13.88,301.17,10.92,113.62
Indonesia,IDN,537.69,21.07,74.40,204.99,24.71,142.53,639.54,21.26,148.37,204.62,24.35,1401.86
Iraq,IRQ,390.58,56.77,7.73,275.07,37.95,40.82,371.66,20.77,4.53,227.80,10.49,6.01
Ireland,IRL,237.27,606.52,43.70,302.83,190.96,37.21,1020.15,2335.98,133.13,107.45,522.33,30.00
Israel,ISR,283.73,408.11,47.71,537.49,201.83,85.43,86.05,380.93,5.89,725.13,173.83,55.44
Italy,ITA,314.33,529.68,56.38,498.09,167.46,80.56,582.95,374.51,9.99,868.54,112.88,122.98
Jamaica,JAM,220.74,143.16,43.07,366.11,130.09,54.73,1.58,130.63,8.20,360.96,81.72,203.83
Japan,JPN,287.05,153.86,100.13,256.30,99.36,46.11,164.27,139.71,67.72,190.58,61.96,27.73
Jordan,JOR,282.26,87.20,11.23,271.63,78.04,63.14,18.51,85.03,0.31,415.51,50.76,26.95
Kazakhstan,KAZ,214.88,565.12,9.40,543.66,145.00,47.12,1795.06,558.65,3.77,599.28,109.53,229.44
Kenya,KEN,282.95,167.41,8.12,228.90,32.93,47.43,164.24,180.68,7.48,221.80,31.28,60.24
