"region","FoodGroup","Year","AggProduction","AggFinalSupply","GDP..BILLIONS.","CODE"
"Afghanistan","Fruits and Vegetables",2014,146.364051914863,152.38,21.71,"AFG"
"Afghanistan","Meat",2014,21.7208167681976,26.6,21.71,"AFG"
"Afghanistan","Dairy and Eggs",2014,133.532730870321,133.05,21.71,"AFG"
"Afghanistan","Oilseeds and Pulses",2014,10.5205958564361,14.15,21.71,"AFG"
"Afghanistan","Cereals",2014,366.888789866827,355.88,21.71,"AFG"
"Afghanistan","Fish and Seafood",2014,0.326220026556159,0.38,21.71,"AFG"
"Albania","Meat",2014,66.7162949280116,117.01,13.4,"ALB"
"Albania","Fruits and Vegetables",2014,882.659714118013,835.13,13.4,"ALB"
"Albania","Cereals",2014,438.510858681766,301.46,13.4,"ALB"
"Albania","Fish and Seafood",2014,4.07188654490212,10.66,13.4,"ALB"
"Albania","Dairy and Eggs",2014,741.396573214101,708.52,13.4,"ALB"
"Albania","Oilseeds and Pulses",2014,64.5237406346028,57.27,13.4,"ALB"
"Algeria","Cereals",2014,160.140730105496,441.93,227.8,"DZA"
"Algeria","Fish and Seafood",2014,4.66135148029388,8.79,227.8,"DZA"
"Algeria","Dairy and Eggs",2014,206.684324636231,318.27,227.8,"DZA"
"Algeria","Oilseeds and Pulses",2014,25.2412182657913,51.43,227.8,"DZA"
"Algeria","Fruits and Vegetables",2014,542.977527182032,577.61,227.8,"DZA"
"Algeria","Meat",2014,37.7802537477819,44.08,227.8,"DZA"
"Angola","Fruits and Vegetables",2014,345.845639560564,213.43,131.4,"AGO"
"Angola","Oilseeds and Pulses",2014,73.0010073573461,41.81,131.4,"AGO"
"Angola","Cereals",2014,122.76829927347,194.32,131.4,"AGO"
"Angola","Dairy and Eggs",2014,13.165772083359,33.59,131.4,"AGO"
"Angola","Fish and Seafood",2014,29.9344536626756,52.72,131.4,"AGO"
"Angola","Meat",2014,20.9103438970996,66.32,131.4,"AGO"
"Antigua and Barbuda","Meat",2014,9.80104796888505,151.92,1.24,"ATG"
"Antigua and Barbuda","Fruits and Vegetables",2014,225.424103284356,379.37,1.24,"ATG"
"Antigua and Barbuda","Dairy and Eggs",2014,98.0104796888505,159.88,1.24,"ATG"
"Antigua and Barbuda","Oilseeds and Pulses",2014,0,31.27,1.24,"ATG"
"Antigua and Barbuda","Fish and Seafood",2014,107.811527657736,108.34,1.24,"ATG"
"Antigua and Barbuda","Cereals",2014,0,168,1.24,"ATG"
"Argentina","Oilseeds and Pulses",2014,2820.84202653954,32.75,536.2,"ARG"
"Argentina","Cereals",2014,2171.58389033506,260.55,536.2,"ARG"
"Argentina","Dairy and Eggs",2014,496.597899361384,407.19,536.2,"ARG"
"Argentina","Fruits and Vegetables",2014,469.278631890089,302.02,536.2,"ARG"
"Argentina","Meat",2014,259.533040977299,223.51,536.2,"ARG"
"Argentina","Fish and Seafood",2014,35.5320690631324,11.76,536.2,"ARG"
"Armenia","Meat",2014,70.3966165478075,105.43,10.88,"ARM"
"Armenia","Cereals",2014,357.901382360313,288.75,10.88,"ARM"
"Armenia","Fruits and Vegetables",2014,1169.95438829011,1032.48,10.88,"ARM"
"Armenia","Oilseeds and Pulses",2014,5.91829962127585,30.62,10.88,"ARM"
"Armenia","Fish and Seafood",2014,11.8365992425517,11,10.88,"ARM"
"Armenia","Dairy and Eggs",2014,458.200986468251,438.64,10.88,"ARM"
"Australia","Cereals",2014,2957.06443074839,192.99,1483,"AUS"
"Australia","Fruits and Vegetables",2014,380.075914481943,323.96,1483,"AUS"
"Australia","Meat",2014,440.128370320582,265.56,1483,"AUS"
"Australia","Oilseeds and Pulses",2014,631.089028547551,60.28,1483,"AUS"
"Australia","Dairy and Eggs",2014,756.191903898981,472.05,1483,"AUS"
"Australia","Fish and Seafood",2014,18.6078032176067,52.98,1483,"AUS"
"Austria","Oilseeds and Pulses",2014,123.412060762303,41.78,436.1,"AUT"
"Austria","Fish and Seafood",2014,0.842403145135174,28.05,436.1,"AUT"
"Austria","Meat",2014,224.395137785382,201.54,436.1,"AUT"
"Austria","Fruits and Vegetables",2014,290.313183892209,392.99,436.1,"AUT"
"Austria","Cereals",2014,1206.42660422671,239.95,436.1,"AUT"
"Austria","Dairy and Eggs",2014,776.801000207772,508.77,436.1,"AUT"
"Azerbaijan","Fruits and Vegetables",2014,494.362103681822,449.95,77.91,"AZE"
"Azerbaijan","Oilseeds and Pulses",2014,54.6852288435683,14.28,77.91,"AZE"
"Azerbaijan","Dairy and Eggs",2014,374.39817234436,274.31,77.91,"AZE"
"Azerbaijan","Cereals",2014,438.627071143176,417.87,77.91,"AZE"
"Azerbaijan","Meat",2014,67.664619982705,73.04,77.91,"AZE"
"Azerbaijan","Fish and Seafood",2014,0.190873399104951,3.86,77.91,"AZE"
"Bangladesh","Meat",2014,8.63636915795492,9.24,186.6,"BGD"
"Bangladesh","Oilseeds and Pulses",2014,14.0025427883905,28.54,186.6,"BGD"
"Bangladesh","Dairy and Eggs",2014,47.0097945939803,39.85,186.6,"BGD"
"Bangladesh","Fish and Seafood",2014,41.6671053120367,45.85,186.6,"BGD"
"Bangladesh","Cereals",2014,648.649447524932,571.25,186.6,"BGD"
"Bangladesh","Fruits and Vegetables",2014,100.577593504368,110.3,186.6,"BGD"
"Barbados","Dairy and Eggs",2014,47.7750763613383,87.76,4.28,"BRB"
"Barbados","Cereals",2014,0,195.1,4.28,"BRB"
"Barbados","Oilseeds and Pulses",2014,57.330091633606,60.11,4.28,"BRB"
"Barbados","Meat",2014,117.845188357968,148.2,4.28,"BRB"
"Barbados","Fruits and Vegetables",2014,95.5501527226767,247.06,4.28,"BRB"
"Barbados","Fish and Seafood",2014,19.1100305445353,80.33,4.28,"BRB"
"Belarus","Fruits and Vegetables",2014,461.395929595175,433.84,75.25,"BLR"
"Belarus","Meat",2014,239.979746579104,182.02,75.25,"BLR"
"Belarus","Dairy and Eggs",2014,1342.82855390416,314.95,75.25,"BLR"
"Belarus","Cereals",2014,1737.76115488765,245.88,75.25,"BLR"
"Belarus","Fish and Seafood",2014,2.69315948064726,32.61,75.25,"BLR"
"Belarus","Oilseeds and Pulses",2014,282.58937693363,41.96,75.25,"BLR"
"Belgium","Fruits and Vegetables",2014,477.715559256873,356.85,527.8,"BEL"
"Belgium","Dairy and Eggs",2014,657.839144639224,497.29,527.8,"BEL"
"Belgium","Cereals",2014,519.431793573432,279.62,527.8,"BEL"
"Belgium","Fish and Seafood",2014,4.36565242847709,52.57,527.8,"BEL"
"Belgium","Oilseeds and Pulses",2014,123.531794642833,37.55,527.8,"BEL"
"Belgium","Meat",2014,354.345455444724,170.66,527.8,"BEL"
"Belize","Fish and Seafood",2014,205.379064436709,25.85,1.67,"BLZ"
"Belize","Oilseeds and Pulses",2014,71.8826725528483,56.25,1.67,"BLZ"
"Belize","Meat",2014,107.824008829272,88.94,1.67,"BLZ"
"Belize","Fruits and Vegetables",2014,1781.66338398845,426.12,1.67,"BLZ"
"Belize","Dairy and Eggs",2014,41.0758128873419,83.8,1.67,"BLZ"
"Belize","Cereals",2014,485.208039731726,267.4,1.67,"BLZ"
"Benin","Oilseeds and Pulses",2014,283.880036532113,70.94,9.24,"BEN"
"Benin","Meat",2014,15.0803001699258,54.74,9.24,"BEN"
"Benin","Fish and Seafood",2014,8.64251120849551,40.2,9.24,"BEN"
"Benin","Fruits and Vegetables",2014,195.250202200093,206.62,9.24,"BEN"
"Benin","Cereals",2014,302.311514517578,285.35,9.24,"BEN"
"Benin","Dairy and Eggs",2014,26.4566669647822,30.7,9.24,"BEN"
"Bermuda","Meat",2014,0,0,5.2,"BMU"
"Bermuda","Fish and Seafood",2014,0,0,5.2,"BMU"
"Bosnia and Herzegovina","Cereals",2014,564.302308083317,341.78,19.55,"BIH"
"Bosnia and Herzegovina","Meat",2014,37.2554155382799,75.66,19.55,"BIH"
"Bosnia and Herzegovina","Dairy and Eggs",2014,377.243648247758,389.13,19.55,"BIH"
"Bosnia and Herzegovina","Fruits and Vegetables",2014,475.462471030496,568.01,19.55,"BIH"
"Bosnia and Herzegovina","Fish and Seafood",2014,1.56316428831944,9.41,19.55,"BIH"
"Bosnia and Herzegovina","Oilseeds and Pulses",2014,35.6922512499605,39.01,19.55,"BIH"
"Botswana","Oilseeds and Pulses",2014,7.81823883712691,32.23,16.3,"BWA"
"Botswana","Meat",2014,62.1115640949526,64.88,16.3,"BWA"
"Botswana","Dairy and Eggs",2014,306.214354454137,344.72,16.3,"BWA"
"Botswana","Cereals",2014,43.4346602062606,227.89,16.3,"BWA"
"Botswana","Fruits and Vegetables",2014,43.000313604198,131.4,16.3,"BWA"
"Botswana","Fish and Seafood",2014,0.868693204125212,8.93,16.3,"BWA"
"Brazil","Fruits and Vegetables",2014,442.958148853439,313.06,2244,"BRA"
"Brazil","Oilseeds and Pulses",2014,961.166164941523,97.57,2244,"BRA"
"Brazil","Dairy and Eggs",2014,340.156781385074,324.67,2244,"BRA"
"Brazil","Fish and Seafood",2014,11.9279473243096,19.87,2244,"BRA"
"Brazil","Meat",2014,256.276377620575,203.62,2244,"BRA"
"Brazil","Cereals",2014,907.553039364928,263.82,2244,"BRA"
"Bulgaria","Dairy and Eggs",2014,327.283485953641,342.66,55.08,"BGR"
"Bulgaria","Meat",2014,58.3451049940309,125.67,55.08,"BGR"
"Bulgaria","Cereals",2014,2414.31042832596,321.48,55.08,"BGR"
"Bulgaria","Fish and Seafood",2014,5.00816351880094,12.88,55.08,"BGR"
"Bulgaria","Fruits and Vegetables",2014,178.541029445253,216.37,55.08,"BGR"
"Bulgaria","Oilseeds and Pulses",2014,738.203302671258,33.59,55.08,"BGR"
"Burkina Faso","Fruits and Vegetables",2014,39.824043288906,43.63,13.38,"BFA"
"Burkina Faso","Oilseeds and Pulses",2014,205.51682443394,81.35,13.38,"BFA"
"Burkina Faso","Cereals",2014,461.174801817124,440.89,13.38,"BFA"
"Burkina Faso","Dairy and Eggs",2014,43.2286894768177,44.47,13.38,"BFA"
"Burkina Faso","Meat",2014,29.1974203387575,30.94,13.38,"BFA"
"Burkina Faso","Fish and Seafood",2014,2.16659302867105,13.06,13.38,"BFA"
"Cabo Verde","Fish and Seafood",2014,124.279111274046,24.96,1.98,"CPV"
"Cabo Verde","Meat",2014,19.2545101973875,65.22,1.98,"CPV"
"Cabo Verde","Fruits and Vegetables",2014,210.049202153318,275.18,1.98,"CPV"
"Cabo Verde","Oilseeds and Pulses",2014,45.5106604665522,52.88,1.98,"CPV"
"Cabo Verde","Dairy and Eggs",2014,45.5106604665522,120.12,1.98,"CPV"
"Cabo Verde","Cereals",2014,3.50082003588863,313.4,1.98,"CPV"
"Cambodia","Meat",2014,27.9142983403712,29.73,16.9,"KHM"
"Cambodia","Dairy and Eggs",2014,5.82042816458804,7.7,16.9,"KHM"
"Cambodia","Cereals",2014,1172.87566728862,510.22,16.9,"KHM"
"Cambodia","Oilseeds and Pulses",2014,70.4984513404694,30.79,16.9,"KHM"
"Cambodia","Fish and Seafood",2014,88.4942649513896,84.76,16.9,"KHM"
"Cambodia","Fruits and Vegetables",2014,107.974881665521,110.26,16.9,"KHM"
"Cameroon","Fish and Seafood",2014,17.3982931286469,39.62,32.16,"CMR"
"Cameroon","Oilseeds and Pulses",2014,347.485909659045,95.58,32.16,"CMR"
"Cameroon","Fruits and Vegetables",2014,650.896143392184,412.18,32.16,"CMR"
"Cameroon","Cereals",2014,268.613647475845,278.21,32.16,"CMR"
"Cameroon","Meat",2014,27.1973317873101,28.75,32.16,"CMR"
"Cameroon","Dairy and Eggs",2014,22.1578261914262,20.85,32.16,"CMR"
"Canada","Fruits and Vegetables",2014,162.769781103478,405.45,1794,"CAN"
"Canada","Dairy and Eggs",2014,462.5927862397,396.03,1794,"CAN"
"Canada","Fish and Seafood",2014,51.9672859500554,46.26,1794,"CAN"
"Canada","Meat",2014,252.408897935585,194.73,1794,"CAN"
"Canada","Oilseeds and Pulses",2014,1642.451127653,84.85,1794,"CAN"
"Canada","Cereals",2014,2528.0571127911,215.06,1794,"CAN"
"Central African Republic","Fruits and Vegetables",2014,125.383193554023,104.4,1.73,"CAF"
"Central African Republic","Fish and Seafood",2014,11.7864266225824,16.04,1.73,"CAF"
"Central African Republic","Cereals",2014,54.2582053143018,83.37,1.73,"CAF"
"Central African Republic","Oilseeds and Pulses",2014,113.596766931441,44.88,1.73,"CAF"
"Central African Republic","Meat",2014,74.3764162735373,80.3,1.73,"CAF"
"Central African Republic","Dairy and Eggs",2014,32.9207088423854,34.32,1.73,"CAF"
"Chad","Fish and Seafood",2014,15.9346642202587,17.86,15.84,"TCD"
"Chad","Meat",2014,27.9520568197038,29.96,15.84,"TCD"
