"region","FoodGroup","Year","AggProduction","AggFinalSupply","grpRegion"
"Afghanistan","Cereals",2014,366.888789866827,355.88,"N.Africa, W.Asia/C.Asia"
"Afghanistan","Dairy and Eggs",2014,133.532730870321,133.05,"N.Africa, W.Asia/C.Asia"
"Afghanistan","Fish and Seafood",2014,0.326220026556159,0.38,"N.Africa, W.Asia/C.Asia"
"Afghanistan","Fruits and Vegetables",2014,146.364051914863,152.38,"N.Africa, W.Asia/C.Asia"
"Afghanistan","Meat",2014,21.7208167681976,26.6,"N.Africa, W.Asia/C.Asia"
"Afghanistan","Oilseeds and Pulses",2014,10.5205958564361,14.15,"N.Africa, W.Asia/C.Asia"
"Africa","Cereals",2014,323.83599714621,328.62,NA
"Africa","Dairy and Eggs",2014,79.1557674114588,81.72,NA
"Africa","Fish and Seafood",2014,17.8441248366394,22.21,NA
"Africa","Fruits and Vegetables",2014,298.396401104896,269.77,NA
"Africa","Meat",2014,33.7509076489765,40.15,NA
"Africa","Oilseeds and Pulses",2014,131.143017120333,56.26,NA
"Albania","Cereals",2014,438.510858681766,301.46,"Europe"
"Albania","Dairy and Eggs",2014,741.396573214101,708.52,"Europe"
"Albania","Fish and Seafood",2014,4.07188654490212,10.66,"Europe"
"Albania","Fruits and Vegetables",2014,882.659714118013,835.13,"Europe"
"Albania","Meat",2014,66.7162949280116,117.01,"Europe"
"Albania","Oilseeds and Pulses",2014,64.5237406346028,57.27,"Europe"
"Algeria","Cereals",2014,160.140730105496,441.93,"N.Africa, W.Asia/C.Asia"
"Algeria","Dairy and Eggs",2014,206.684324636231,318.27,"N.Africa, W.Asia/C.Asia"
"Algeria","Fish and Seafood",2014,4.66135148029388,8.79,"N.Africa, W.Asia/C.Asia"
"Algeria","Fruits and Vegetables",2014,542.977527182032,577.61,"N.Africa, W.Asia/C.Asia"
"Algeria","Meat",2014,37.7802537477819,44.08,"N.Africa, W.Asia/C.Asia"
"Algeria","Oilseeds and Pulses",2014,25.2412182657913,51.43,"N.Africa, W.Asia/C.Asia"
"Americas","Cereals",2014,1352.99083008554,259.6,NA
"Americas","Dairy and Eggs",2014,374.122421728893,359.37,NA
"Americas","Fish and Seafood",2014,38.3256009678985,29.79,NA
"Americas","Fruits and Vegetables",2014,443.042821207241,357.21,NA
"Americas","Meat",2014,204.876117461986,183.41,NA
"Americas","Oilseeds and Pulses",2014,731.076438000333,64.49,NA
"Angola","Cereals",2014,122.76829927347,194.32,"Sub-Saharan Africa"
"Angola","Dairy and Eggs",2014,13.165772083359,33.59,"Sub-Saharan Africa"
"Angola","Fish and Seafood",2014,29.9344536626756,52.72,"Sub-Saharan Africa"
"Angola","Fruits and Vegetables",2014,345.845639560564,213.43,"Sub-Saharan Africa"
"Angola","Meat",2014,20.9103438970996,66.32,"Sub-Saharan Africa"
"Angola","Oilseeds and Pulses",2014,73.0010073573461,41.81,"Sub-Saharan Africa"
"Antigua and Barbuda","Cereals",2014,0,168,"North America and Oceania"
"Antigua and Barbuda","Dairy and Eggs",2014,98.0104796888505,159.88,"North America and Oceania"
"Antigua and Barbuda","Fish and Seafood",2014,107.811527657736,108.34,"North America and Oceania"
"Antigua and Barbuda","Fruits and Vegetables",2014,225.424103284356,379.37,"North America and Oceania"
"Antigua and Barbuda","Meat",2014,9.80104796888505,151.92,"North America and Oceania"
"Antigua and Barbuda","Oilseeds and Pulses",2014,0,31.27,"North America and Oceania"
"Argentina","Cereals",2014,2171.58389033506,260.55,"Latin America"
"Argentina","Dairy and Eggs",2014,496.597899361384,407.19,"Latin America"
"Argentina","Fish and Seafood",2014,35.5320690631324,11.76,"Latin America"
"Argentina","Fruits and Vegetables",2014,469.278631890089,302.02,"Latin America"
"Argentina","Meat",2014,259.533040977299,223.51,"Latin America"
"Argentina","Oilseeds and Pulses",2014,2820.84202653954,32.75,"Latin America"
"Armenia","Cereals",2014,357.901382360313,288.75,"Europe"
"Armenia","Dairy and Eggs",2014,458.200986468251,438.64,"Europe"
"Armenia","Fish and Seafood",2014,11.8365992425517,11,"Europe"
"Armenia","Fruits and Vegetables",2014,1169.95438829011,1032.48,"Europe"
"Armenia","Meat",2014,70.3966165478075,105.43,"Europe"
"Armenia","Oilseeds and Pulses",2014,5.91829962127585,30.62,"Europe"
"Asia","Cereals",2014,558.025007086597,388.21,NA
"Asia","Dairy and Eggs",2014,147.566269594545,136.3,NA
"Asia","Fish and Seafood",2014,58.849740364707,46.05,NA
"Asia","Fruits and Vegetables",2014,526.855162048923,488.11,NA
"Asia","Meat",2014,63.3801357582673,69.71,NA
"Asia","Oilseeds and Pulses",2014,238.295590562856,53.44,NA
"Australia","Cereals",2014,2957.06443074839,192.99,NA
